18700540;МЕШОК Д/МУСОР ТКАН/ПРОПИЛЕН.950Х550 50шт;102760;2019;Февраль
18700540;МЕШОК Д/МУСОР ТКАН/ПРОПИЛЕН.950Х550 50шт;102030;2019;Октябрь
18478820;Пескобетон М 300, 40 кг;101780;2019;Май
15095305;ШПАКЛЕВКА ПОЛИМЕР.WEBER.VETONIT LR  20КГ;101328;2019;Май
12531431;БЛОКИ YTONG 625Х250Х100 D500;99128;2019;Декабрь
10072745;ГСП-Н2 КНАУФ 2500х1200х12,5мм (влагост.);98818;2019;Сентябрь
15095305;ШПАКЛЕВКА ПОЛИМЕР.WEBER.VETONIT LR  20КГ;98279;2019;Август
12095334;Профиль ПП 60х27мм L3м КНАУФ;96998;2019;Ноябрь
10072681;ГСП-А КНАУФ 2500х1200х12,5мм (стандарт.);96781;2019;Октябрь
15095305;ШПАКЛЕВКА ПОЛИМЕР.WEBER.VETONIT LR  20КГ;95961;2019;Июль
81963566;Цемент ExtraCEM 500 Holcim, 50 кг;95658;2019;Апрель
18700540;МЕШОК Д/МУСОР ТКАН/ПРОПИЛЕН.950Х550 50шт;95465;2020;Январь
18700540;МЕШОК Д/МУСОР ТКАН/ПРОПИЛЕН.950Х550 50шт;94875;2019;Декабрь
13922864;Шпатлевка гипс. Старатели Финишная 20кг;92378;2019;Апрель
15163427;ПЕСКОБЕТОН 30КГ AXTON;92232;2019;Июль
12593034;ЛЦ ГИПСОКАРТОН 2500 1200 12,5;92035;2019;Ноябрь
10072745;ГСП-Н2 КНАУФ 2500х1200х12,5мм (влагост.);91843;2019;Ноябрь
12593034;ЛЦ ГИПСОКАРТОН 2500 1200 12,5;91796;2019;Март
10074281;Клей для плитки КНАУФ Флизен 25кг;91164;2019;Ноябрь
15163427;ПЕСКОБЕТОН 30КГ AXTON;90342;2020;Январь
18700540;МЕШОК Д/МУСОР ТКАН/ПРОПИЛЕН.950Х550 50шт;89775;2019;Май
12095334;Профиль ПП 60х27мм L3м КНАУФ;87876;2019;Сентябрь
12095334;Профиль ПП 60х27мм L3м КНАУФ;87608;2019;Апрель
10072681;ГСП-А КНАУФ 2500х1200х12,5мм (стандарт.);86951;2019;Ноябрь
12095334;Профиль ПП 60х27мм L3м КНАУФ;86502;2019;Декабрь
11689747;Лестница алюм. трансформер 4x3 ступени;86414;2019;Май
12531431;БЛОКИ YTONG 625Х250Х100 D500;86170;2019;Июль
15095305;ШПАКЛЕВКА ПОЛИМЕР.WEBER.VETONIT LR  20КГ;85695;2020;Январь
10072681;ГСП-А КНАУФ 2500х1200х12,5мм (стандарт.);85502;2019;Январь
81963566;Цемент ExtraCEM 500 Holcim, 50 кг;85327;2019;Сентябрь
15058563;ШПАКЛЕВКА ФИНИШ.РОТБАНД ПАСТА ПРОФИ 18КГ;84733;2019;Декабрь
12627951;СУХАЯ СМЕСЬ УНИВЕРСАЛЬНАЯ М-150 25КГ;83976;2019;Ноябрь
12531431;БЛОКИ YTONG 625Х250Х100 D500;82665;2020;Январь
15163427;ПЕСКОБЕТОН 30КГ AXTON;82656;2019;Сентябрь
12095334;Профиль ПП 60х27мм L3м КНАУФ;82315;2019;Февраль
12756948;Профиль ПС 50х50мм L3м КНАУФ;82198;2019;Январь
14609301;Мешки для мусора 55х95см, 10шт.;81297;2019;Август
11334831;ПГП 667Х500Х80ММ ВЛАГОСТОЙКАЯ ПУСТОТЕЛАЯ;81191;2019;Июль
18304539;Профиль  ПС-2  50х50x3000 STANDERS;80560;2019;Июль
18303587;XPS RAVATHERM standard 1185x585x100мм;80517;2019;Октябрь
18630553;Плита потолочная TRENTO AMF 13 мм (18 шт;80514;2019;Октябрь
15095305;ШПАКЛЕВКА ПОЛИМЕР.WEBER.VETONIT LR  20КГ;80379;2019;Январь
10074281;Клей для плитки КНАУФ Флизен 25кг;80372;2019;Июль
15143311;Касcета AP600 А6 Tegular/Т24 белая стал;78942;2019;Январь
81963566;Цемент ExtraCEM 500 Holcim, 50 кг;78672;2019;Май
10072745;ГСП-Н2 КНАУФ 2500х1200х12,5мм (влагост.);78536;2020;Январь
13606458;Клей д/плитки усиленный Флизен-Плюс 25кг;78315;2019;Ноябрь
81927885;NEXT АРМОСЛОЙ ЦЕМЕНТ ШТУКАТ. 25 КГ;77224;2019;Август
12095334;Профиль ПП 60х27мм L3м КНАУФ;76981;2020;Январь
18478820;Пескобетон М 300, 40 кг;76786;2019;Январь
17907590;ШУМОИЗОЛЯЦИЯ ПОЛА ШУМАНЕТ 100 ГИДРО 10М2;76775;2019;Декабрь
10072745;ГСП-Н2 КНАУФ 2500х1200х12,5мм (влагост.);76276;2019;Март
14609301;Мешки для мусора 55х95см, 10шт.;75986;2019;Июль
12756948;Профиль ПС 50х50мм L3м КНАУФ;75820;2019;Апрель
82456045;Портландцемент ЦЕМ II/А-И 42.5, 50 кг;75474;2020;Январь
13857185;Штукатурка гипсовая AXTON 30кг;75039;2019;Май
11334831;ПГП 667Х500Х80ММ ВЛАГОСТОЙКАЯ ПУСТОТЕЛАЯ;74963;2019;Март
12095326;Профиль ППН 28х27мм L3м КНАУФ;74836;2019;Ноябрь
15095305;ШПАКЛЕВКА ПОЛИМЕР.WEBER.VETONIT LR  20КГ;74813;2019;Февраль
10072630;ГСП-Н2 КНАУФ 2500х1200х9,5мм (влагост);74494;2019;Июль
18630553;Плита потолочная TRENTO AMF 13 мм (18 шт;74481;2019;Апрель
17358607;НАЛИВНОЙ ПОЛ WEBER.VETONIT, 20 КГ;73840;2019;Сентябрь
12593034;ЛЦ ГИПСОКАРТОН 2500 1200 12,5;73676;2019;Июль
